prefecture,prefecture_slug,city,name,official_url,futsuu_nirin,oogata_nirin,source_url,verified_at
群馬県,gunma,伊勢崎市,伊勢崎自動車教習所,http://www.isesaki-driving-school.co.jp/,1,1,https://www.pref.gunma.jp/uploaded/attachment/151980.pdf,2026-08-23
群馬県,gunma,伊勢崎市,赤城自動車教習所,http://www.akagide.jp/,1,1,https://www.pref.gunma.jp/uploaded/attachment/151980.pdf,2026-08-23
群馬県,gunma,前橋市,前橋天川自動車教習所,http://www.amagawa.com/,1,0,https://www.pref.gunma.jp/uploaded/attachment/151980.pdf,2026-08-23
群馬県,gunma,前橋市,前橋自動車教習所,https://www.maebashi-drivingschool.co.jp/,1,1,https://www.pref.gunma.jp/uploaded/attachment/151980.pdf,2026-08-24
群馬県,gunma,前橋市,大渡自動車学校,https://ohwatari.com/,1,1,https://www.pref.gunma.jp/uploaded/attachment/151980.pdf,2026-08-23
群馬県,gunma,前橋市,群馬県自動車教習所,https://www.gunmads.jp/,1,1,https://www.pref.gunma.jp/uploaded/attachment/151980.pdf,2026-08-23
群馬県,gunma,吾妻郡長野原町,西吾妻自動車教習所,http://www17.plala.or.jp/AZUMA911825/index.html,1,1,https://www.pref.gunma.jp/uploaded/attachment/151980.pdf,2026-08-24
群馬県,gunma,沼田市,谷川ドライビングスクール,http://tanigawa-ds.com/,1,1,https://www.pref.gunma.jp/uploaded/attachment/151980.pdf,2026-08-25
群馬県,gunma,吾妻郡中之条町,中之条町自動車教習所,https://www.town.nakanojo.gunma.jp/site/kyousyu/,1,0,https://www.pref.gunma.jp/uploaded/attachment/151980.pdf,2026-08-23
群馬県,gunma,富岡市,西毛自動車教習所,https://www.seimou.co.jp/,1,1,https://www.pref.gunma.jp/uploaded/attachment/151980.pdf,2026-08-23
群馬県,gunma,太田市,群馬にった自動車教習所,https://nitta-drive.com/,1,1,https://www.pref.gunma.jp/uploaded/attachment/151980.pdf,2026-08-24
群馬県,gunma,太田市,太田自動車教習所,https://www.otads.co.jp/,1,1,https://www.pref.gunma.jp/uploaded/attachment/151980.pdf,2026-08-23
群馬県,gunma,太田市,金山自動車教習所,http://www.kanayama1972.com/,1,1,https://www.pref.gunma.jp/uploaded/attachment/151980.pdf,2026-08-24
群馬県,gunma,桐生市,トヨタドライビングスクール群馬,https://www.toyota-dst.co.jp/gunma/,1,1,https://www.pref.gunma.jp/uploaded/attachment/151980.pdf,2026-08-23
群馬県,gunma,渋川市,南渋川自動車教習所,https://www.m-shibu.com/,1,1,https://www.pref.gunma.jp/uploaded/attachment/151980.pdf,2026-08-23
群馬県,gunma,藤岡市,かぶら自動車教習所,http://www.kabura-drivingschool.co.jp/,1,1,https://www.pref.gunma.jp/uploaded/attachment/151980.pdf,2026-08-23
群馬県,gunma,藤岡市,柳瀬橋自動車教習所,https://yanasede.com/,1,1,https://www.pref.gunma.jp/uploaded/attachment/151980.pdf,2026-08-23
群馬県,gunma,館林市,館林自動車教習所,https://tatebayashi-ds.com/,1,1,https://www.pref.gunma.jp/uploaded/attachment/151980.pdf,2026-08-23
群馬県,gunma,高崎市,高崎モータースクール,https://takasaki-motorschool.co.jp/,1,1,https://www.pref.gunma.jp/uploaded/attachment/151980.pdf,2026-08-23
