prefecture,prefecture_slug,city,name,official_url,futsuu_nirin,oogata_nirin,source_url,verified_at
山梨県,yamanashi,上野原市,上野原自動車教習所,http://www.uenohara-ds.com/,1,1,https://y-shiteikyo.com/,2026-08-23
山梨県,yamanashi,中巨摩郡昭和町,甲府昭和自動車教習所,https://showa.ns-ds.co.jp/,1,1,https://y-shiteikyo.com/,2026-08-23
山梨県,yamanashi,北杜市,小淵沢自動車教習所,https://kobuchi.ns-ds.co.jp/,1,1,https://y-shiteikyo.com/,2026-08-24
山梨県,yamanashi,北杜市,長坂自動車教習所,https://www.nagasakads.com/,1,1,https://y-shiteikyo.com/,2026-08-23
山梨県,yamanashi,南アルプス市,山梨自動車学校,https://www.yamanashi-ankyo.jp/ds/,1,1,https://y-shiteikyo.com/,2026-08-23
山梨県,yamanashi,南アルプス市,小笠原自動車教習所,https://www.ogs-ds.com/,1,1,https://y-shiteikyo.com/,2026-08-23
山梨県,yamanashi,南巨摩郡南部町,南部自動車教習所,http://www.nanbu-ds.jp/,1,1,https://y-shiteikyo.com/,2026-08-24
山梨県,yamanashi,南巨摩郡富士川町,きょうなん自動車学校,https://www.kyonan-ds.com/,1,0,https://y-shiteikyo.com/,2026-08-23
山梨県,yamanashi,大月市,大月自動車学校,https://www.o-ds.jp/,1,1,https://y-shiteikyo.com/,2026-08-23
山梨県,yamanashi,富士吉田市,岳麓自動車教習所,http://www.gakuroku.jp/,1,1,https://y-shiteikyo.com/,2026-08-23
山梨県,yamanashi,甲州市,塩山自動車教習所,https://www.enzan-jikyo.net/,1,0,https://y-shiteikyo.com/,2026-08-23
山梨県,yamanashi,甲府市,山梨中央自動車教習所,https://www.chuods.com/,1,1,https://y-shiteikyo.com/,2026-08-23
山梨県,yamanashi,甲府市,山梨交通自動車学校,http://805ds.jp/,1,1,https://y-shiteikyo.com/,2026-08-23
山梨県,yamanashi,甲府市,湯村自動車学校,https://www.yumura.co.jp/,1,1,https://y-shiteikyo.com/,2026-08-23
山梨県,yamanashi,都留市,都留自動車教習所,http://www.tsuru-ds.com/,1,0,https://y-shiteikyo.com/,2026-08-23
山梨県,yamanashi,韮崎市,韮崎自動車教習所,https://nirasaki.ns-ds.co.jp/,1,0,https://y-shiteikyo.com/,2026-08-24
