prefecture,prefecture_slug,city,name,official_url,futsuu_nirin,oogata_nirin,source_url,verified_at
福島県,fukushima,いわき市,タイヘイドライバーズスクール,https://taihei-ds.co.jp/,1,1,https://www.police.pref.fukushima.jp/04.menkyo/-7kyousyu/kyousyuujo.pdf,2026-08-23
福島県,fukushima,いわき市,小名浜自動車学校,https://onahama-drivers.co.jp/,1,1,https://www.police.pref.fukushima.jp/04.menkyo/-7kyousyu/kyousyuujo.pdf,2026-08-23
福島県,fukushima,いわき市,常交自動車学校,https://joko-menkyo.com/,1,1,https://www.police.pref.fukushima.jp/04.menkyo/-7kyousyu/kyousyuujo.pdf,2026-08-23
福島県,fukushima,いわき市,平中央自動車学校,https://taira-chuou.co.jp/,1,1,https://www.police.pref.fukushima.jp/04.menkyo/-7kyousyu/kyousyuujo.pdf,2026-08-23
福島県,fukushima,いわき市,湯本自動車学校,https://yumoto-menkyo.com/,1,0,https://www.police.pref.fukushima.jp/04.menkyo/-7kyousyu/kyousyuujo.pdf,2026-08-23
福島県,fukushima,いわき市,福陽自動車教習所,https://fukuyo-ds.jp/,1,0,https://www.police.pref.fukushima.jp/04.menkyo/-7kyousyu/kyousyuujo.pdf,2026-08-24
福島県,fukushima,伊達市,保原自動車学校,https://hobara.co.jp/,1,1,https://www.police.pref.fukushima.jp/04.menkyo/-7kyousyu/kyousyuujo.pdf,2026-08-24
福島県,fukushima,伊達市,北部日本自動車学校,https://license.co.jp/hokubu/,1,1,https://www.police.pref.fukushima.jp/04.menkyo/-7kyousyu/kyousyuujo.pdf,2026-08-23
福島県,fukushima,会津若松市,会津中央自動車教習所,https://ac-ds.com/,1,1,https://www.police.pref.fukushima.jp/04.menkyo/-7kyousyu/kyousyuujo.pdf,2026-08-23
福島県,fukushima,会津若松市,会津自動車学校,https://aizu-ds.com/,1,0,https://www.police.pref.fukushima.jp/04.menkyo/-7kyousyu/kyousyuujo.pdf,2026-08-23
福島県,fukushima,会津若松市,扇町自動車学校,https://ougi-ds.com/,1,1,https://www.police.pref.fukushima.jp/04.menkyo/-7kyousyu/kyousyuujo.pdf,2026-08-23
福島県,fukushima,南相馬市,原町中央自動車教習所,https://chuo55.com/,1,0,https://www.police.pref.fukushima.jp/04.menkyo/-7kyousyu/kyousyuujo.pdf,2026-08-23
福島県,fukushima,双葉郡浪江町,ふたば自動車学校,https://futaba-ds.com/,1,1,https://www.police.pref.fukushima.jp/04.menkyo/-7kyousyu/kyousyuujo.pdf,2026-08-23
